"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-09-22";"IND";"";"ATL";"W 27-24";"Adam Vinatieri";49;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"DAL";"@";"PHI";"L 9-17";"Kai Forbath";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"PHI";"@";"MIA";"L 31-37";"Jake Elliott";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-30";"PIT";"";"CIN";"W 27-3";"Chris Boswell";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"LAR";"@";"CAR";"W 30-27";"Greg Zuerlein";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"TAM";"";"ATL";"L 22-28";"Matt Gay";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"DEN";"";"OAK";"W 16-15";"Brandon McManus";49;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-15";"PIT";"";"BUF";"L 10-17";"Chris Boswell";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"CAR";"";"TEN";"W 30-20";"Joey Slye";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"NYJ";"@";"WAS";"W 34-17";"Sam Ficken";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"TEN";"";"IND";"L 17-19";"Cairo Santos";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"MIA";"";"NYJ";"W 26-18";"Jason Sanders";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"WAS";"@";"CAR";"W 29-21";"Dustin Hopkins ";49;0;"yes";"Regular Season";"no";"open";"grass"
"2019-11-24";"DET";"@";"WAS";"L 16-19";"Matt Prater";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"DAL";"@";"PHI";"L 9-17";"Kai Forbath";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"BAL";"";"CIN";"W 23-17";"Justin Tucker";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"CAR";"@";"TAM";"W 37-26";"Joey Slye";49;1;"no";"Regular Season";"no";"open";"turf"
"2020-01-05";"SEA";"@";"PHI";"W 17-9";"Jason Myers";49;1;"no";"Playoffs";"no";"open";"grass"
"2019-11-03";"NYJ";"@";"MIA";"L 18-26";"Sam Ficken";49;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-12";"NYJ";"@";"BAL";"L 21-42";"Sam Ficken";49;0;"yes";"Regular Season";"no";"open";"grass"
"2020-01-05";"NOR";"";"MIN";"L 20-26";"Wil Lutz";49;1;"no";"Playoffs";"no";"dome";"grass"
"2019-12-15";"MIA";"@";"NYG";"L 20-36";"Jason Sanders";49;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-18";"LAC";"";"KAN";"L 17-24";"Michael Badgley";49;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"JAX";"@";"TEN";"L 20-42";"Josh Lambo";49;1;"no";"Regular Season";"no";"open";"grass"
"2020-01-11";"BAL";"";"TEN";"L 12-28";"Justin Tucker";49;1;"no";"Playoffs";"no";"open";"grass"
"2019-09-29";"BUF";"";"NWE";"L 10-16";"Stephen Hauschka";49;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-22";"PIT";"@";"NYJ";"L 10-16";"Chris Boswell";49;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"ATL";"@";"NOR";"W 26-9";"Younghoe Koo";48;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-22";"LAR";"@";"CLE";"W 20-13";"Greg Zuerlein";48;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"CAR";"@";"HOU";"W 16-10";"Joey Slye";48;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-15";"NWE";"@";"MIA";"W 43-0";"Stephen Gostkowski";48;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"DET";"";"KAN";"L 30-34";"Matt Prater";48;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"MIA";"@";"IND";"W 16-12";"Jason Sanders";48;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-24";"NWE";"";"DAL";"W 13-9";"Nick Folk";48;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"SFO";"";"GNB";"W 37-8";"Chase McLaughlin";48;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"OAK";"@";"NYJ";"L 3-34";"Daniel Carlson";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-06";"CIN";"";"ARI";"L 23-26";"Randy Bullock";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"KAN";"@";"NWE";"W 23-16";"Harrison Butker";48;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"BUF";"";"BAL";"L 17-24";"Stephen Hauschka";48;1;"no";"Regular Season";"no";"open";"turf"
