"Rank","Player","Pos","Tm","G","FG"
440,"Juwan Morgan","PF","UTA",16,9
441,"Dean Wade","PF","CLE",12,9
442,"Stanley Johnson","PF","TOR",20,8
443,"Louis King","SF","DET",10,8
444,"Malcolm Miller","SF","TOR",25,8
445,"Rayjon Tucker","SG","UTA",14,8
446,"Tyler Cook","PF","CLE",11,7
447,"Alize Johnson","SF","IND",13,7
448,"Ignas Brazdeikis","SF","NYK",9,6
449,"Charlie Brown","SG","ATL",10,6
450,"Vlatko Cancar","SF","DEN",14,6
451,"Melvin Frazier","SG","ORL",15,6
452,"Naz Mitrou-Long","SG","IND",3,6
453,"Jordan Bone","PG","DET",10,5
454,"Amile Jefferson","PF","ORL",18,5
455,"B.J. Johnson","SF","ORL",8,5
456,"Josh Magette","PG","ORL",8,5
457,"Frank Mason III","PG","MIL",6,5
458,"Chandler Parsons","SF","ATL",5,5
459,"Justin Robinson","PG","WAS",9,5
460,"Khyri Thomas","SG","DET",8,5
461,"Jarred Vanderbilt","SF-PF","TOT",11,5
462,"Jonah Bolden","PF","TOT",7,4
463,"Moses Brown","C","POR",9,4
464,"Michael Frazier","SG","HOU",8,4
465,"Dusty Hannahs","SG","MEM",2,4
466,"Jalen Lecque","PG","PHO",4,4
467,"Justin Patton","C","OKC",5,4
468,"Gabe Vincent","PG","MIA",6,4
469,"DaQuan Jeffries","SG","SAC",6,3
470,"Zach Norvell","SG","TOT",5,3
471,"KZ Okpala","SF","MIA",5,3
472,"Shamorie Ponds","PG","TOR",4,3
473,"Zhaire Smith","SG","PHI",7,3
474,"Ryan Anderson","PF","HOU",2,2
475,"Brian Bowen","SG","IND",5,2
476,"Zylan Cheatham","SF","NOP",3,2
477,"Antonius Cleveland","SG","DAL",6,2
478,"Eric Mika","PF","SAC",1,2
479,"Max Strus","SG","CHI",2,2
480,"Justin Anderson","SF","BRK",3,1
481,"Henry Ellenson","PF","BRK",5,1
482,"Josh Gray","PG","NOP",2,1
483,"Kyle Guy","SG","SAC",2,1
484,"Devon Hall","SG","OKC",5,1
485,"Donta Hall","PF","DET",4,1
486,"Jared Harper","PG","PHO",3,1
487,"Udonis Haslem","PF","MIA",3,1
488,"Dewan Hernandez","C","TOR",4,1
489,"Kevin Hervey","PF","OKC",7,1
490,"Daryl Macon","SG","MIA",4,1
491,"Jeremiah Martin","PG","BRK",3,1
492,"Matt Mooney","SG","CLE",4,1
493,"Tariq Owens","PF","PHO",3,1
494,"Marial Shayok","SG","PHI",2,1
495,"Jarrod Uthoff","SF","MEM",4,1
496,"Nigel Williams-Goss","PG","UTA",9,1
497,"Kostas Antetokounmpo","PF","LAL",3,0
498,"Marques Bolden","C","CLE",1,0
499,"Jarrell Brantley","PF","UTA",5,0
500,"Joe Chealey","PG","CHO",4,0
501,"Talen Horton-Tucker","SG","LAL",2,0
502,"William Howard","SG","HOU",2,0
503,"Stanton Kidd","SF","UTA",4,0
504,"Vic Law","SF","ORL",5,0
505,"J.P. Macura","SG","CLE",1,0
506,"Malik Newman","SG","CLE",1,0
507,"Miye Oni","SG","UTA",5,0
508,"Chasson Randle","PG","GSW",3,0
509,"Josh Reaves","SG","DAL",2,0
510,"Isaiah Roby","SF","OKC",3,0
511,"Luka Samanic","PF","SAS",1,0
512,"Paul Watson","SF-SG","TOT",5,0
513,"Quinndary Weatherspoon","SG","SAS",3,0
514,"Justin Wright-Foreman","PG","UTA",1,0
